name,headline,is_outdoor,price_rating,booking_required,is_cardio,intimate,time_of_day,address_postcode,area_category,area_number,address_text,description,event_type,external_link,address_longitudinal,address_latitudinal,end_column_unused
Chel-ski,Go skiing without leaving London at this indoor ski bar complete with an Alpine bar,2,3,1,3,1,1,SW6 2EJ,Southwest,6,"4 Sotheron Place, Fulham, London SW6 2EJ, United Kingdom",,sport,https://www.chel-ski.uk/,0,0,1
The Climbing Hangar,Climbing metropolis to try out indoor bouldering,2,2,1,3,1,3,SW6 4HH,Southwest,6,"Parson Green Depot, 5, 33-35 Parsons Green Ln, London SW6 4HH, United Kingdom",,sport,https://www.theclimbinghangar.com/locations/london,0,0,1
All Star Lanes - Brick Lane,Grab a cocktail and bowl the night away at this retro-American bowling alley with karaoke,2,2,1,3,1,3,E1 6QL,East,3,"95 Brick Ln, London E1 6QL, United Kingdom",,sport,https://www.allstarlanes.co.uk/,0,0,1
All Star Lanes - Holborn,Grab a cocktail and bowl the night away at this retro-American bowling alley with karaoke,2,2,1,3,1,3,WC1B 4DA,Central - West,2,"Victoria House, Bloomsbury Pl, Holborn, London WC1B 4DA, United Kingdom",,sport,https://www.allstarlanes.co.uk/,0,0,1
All Star Lanes - Stratford,Grab a cocktail and bowl the night away at this retro-American bowling alley with karaoke,2,2,1,3,1,3,E20 1ET,East,3,"Montfichet Rd, London E20 1ET, United Kingdom",,sport,https://www.allstarlanes.co.uk/,0,0,1
Bar Kick - Shoreditch,Play foosball and grab a beer at this quirky bar,2,2,1,2,1,3,E1 6JE,East,3,"127 Shoreditch High St, Hackney, London E1 6JE, United Kingdom",,activity,http://cafekick.co.uk,0,0,1
London Shuffle Club - Shoreditch,Visit for shuffleboard courts and pizza to make for a casual date,2,2,1,2,1,3,E20 1ET,East,3,"Montfichet Rd, London E20 1ET, United Kingdom",,activity,http://londonshuffle.com,0,0,1
Bounce - Holborn,Play a competitive game of ping pong in this 1950's style bar and restaurant,2,2,1,3,1,3,EC1N 2TD,Central - East,1,"121 Holborn, London EC1N 2TD, United Kingdom",,activity,http://bouncepingpong.com,0,0,1
Bounce - Shoreditch,Play a competitive game of ping pong in this casual Old Street spot,2,2,1,3,1,3,EC1V 9EY,Central - East,1,"241 Old St, Hoxton, London EC1V 9EY, United Kingdom",,activity,http://bouncepingpong.com,0,0,1
Electric Shuffle - Canary Wharf,Enjoy shuffleboard games with electric touches in this bar,2,2,1,2,1,3,E14 4EY,East,3,"10 Cabot Square, N Colonnade, Canary Wharf, London E14 4EY, United Kingdom",,activity,https://electricshuffle.com/,0,0,1
Swingers - West End,Play crazy golf and enjoy some cocktails,2,2,1,3,2,3,W1G 0AB,West,4,"15 John Prince's St, Marylebone, London W1G 0AB, United Kingdom",,activity,http://swingers.club,0,0,1
